brand,title,kilometer,gas_type,gear_box,year,price,ad_link,sv_avg_class,hp,cilinder
Abarth,Abarth 500e Scorpionissima,10408,electric,auto,2023,40000,https://www.standvirtual.com/carros/anuncio/abarth-500e-scorpionissima-ID8PHxhx.html,0,,
Abarth,Abarth 595 1.4 T-Jet Competizione,19000,petrol,manual,2020,26990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-ID8PKQAl.html,2,180,1368
Abarth,Abarth 595 1.4 T-Jet Pista,57721,petrol,manual,2020,19990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-pista-ID8PL3H3.html,0,160,1368
Abarth,Abarth 595 1.4 T-Jet Competizione,19350,petrol,manual,2023,27950,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-ID8PKFI2.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet Pista 3.0,36276,petrol,manual,2021,21900,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-pista-3-0-ID8PLUco.html,0,165,1368
Abarth,Abarth 595 1.4 T-Jet,30000,petrol,manual,2020,20900,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-ID8PKc4j.html,0,145,1368
Abarth,Abarth 595,82000,petrol,manual,2017,18500,https://www.standvirtual.com/carros/anuncio/abarth-595-ID8PKFE6.html,2,164,1368
Abarth,Abarth 695C Edizione Maserati 339/499 ,55000,petrol,auto,2013,34900,https://www.standvirtual.com/carros/anuncio/abarth-695c-edizione-maserati-339-499-ID8MUKaz.html,0,180,1398
Abarth,Abarth 595 1.4 T-Jet Competizione,81000,petrol,manual,2017,19500,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-ID8PKUQg.html,3,180,1368
Abarth,Abarth Grande Punto 1.4 T-Jet 16V,128000,petrol,manual,2010,11490,https://www.standvirtual.com/carros/anuncio/abarth-grande-punto-1-4-t-jet-16v-ID8PKy4k.html,0,155,1368
